original_filename,tpl_name,version
com.android.support.print-28.0.0.jar,com.android.support.print,28.0.0
com.android.support.recyclerview-v7-21.0.3.jar,com.android.support.recyclerview-v7,21.0.3
com.android.support.recyclerview-v7.23.2.1.jar,com.android.support.recyclerview-v7,23.2.1
com.android.support.slidingpanelayout-28.0.0.jar,com.android.support.slidingpanelayout,28.0.0
com.android.support.support-compat-26.1.0.jar,com.android.support.support-compat,26.1.0
com.android.support.support-compat-28.0.0.jar,com.android.support.support-compat,28.0.0
com.android.support.support-core-ui-26.1.0.jar,com.android.support.support-core-ui,26.1.0
com.android.support.support-core-ui-28.0.0.jar,com.android.support.support-core-ui,28.0.0
com.android.support.support-core-utils-26.1.0.jar,com.android.support.support-core-utils,26.1.0
com.android.support.support-core-utils-28.0.0.jar,com.android.support.support-core-utils,28.0.0
com.android.support.support-fragment-26.1.0.jar,com.android.support.support-fragment,26.1.0
com.android.support.support-fragment-28.0.0.jar,com.android.support.support-fragment,28.0.0
com.android.support.support-media-compat-26.1.0.jar,com.android.support.support-media-compat,26.1.0
com.android.support.support-media-compat-28.0.0.jar,com.android.support.support-media-compat,28.0.0
com.android.support.support-v13-28.0.0.jar,com.android.support.support-v13,28.0.0
com.android.support.support-v4-21.0.3.jar,com.android.support.support-v4,21.0.3
com.android.support.support-v4-23.1.1.jar,com.android.support.support-v4,23.1.1
com.android.support.support-v4-26.1.0.jar,com.android.support.support-v4,26.1.0
